title,date,summary,link
"US forced-labour hearing begins, paving way for more Trump tariffs - The Business Times","Tue, 07 Jul 2026 08:18:00 GMT","<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxOckJyTzV3WlRuMFJnWWtaN0V2U2hQTEtsQXk3VHhtaF92ZzlxRUlkTzhwUEZLQ20yaXhQWlhKMU1RU3pHY1VwRHZHX2lpYkhlLVZiNnA5el9pM2dybFFaUW9YQXFvM0pHWktEWkxLejhaWGpJNXZVaWtWZmVhMlE2ejBxX0N5M0JhaEtXY1o3ZEFTcGdLd0NHZ2NqanZ1MVRnNjJHdlpLeWRHeHVJODRmS3FBVDBEUQ?oc=5"" target=""_blank"">US forced-labour hearing begins, paving way for more Trump tariffs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Business Times</font>",https://news.google.com/rss/articles/CBMitgFBVV95cUxOckJyTzV3WlRuMFJnWWtaN0V2U2hQTEtsQXk3VHhtaF92ZzlxRUlkTzhwUEZLQ20yaXhQWlhKMU1RU3pHY1VwRHZHX2lpYkhlLVZiNnA5el9pM2dybFFaUW9YQXFvM0pHWktEWkxLejhaWGpJNXZVaWtWZmVhMlE2ejBxX0N5M0JhaEtXY1o3ZEFTcGdLd0NHZ2NqanZ1MVRnNjJHdlpLeWRHeHVJODRmS3FBVDBEUQ?oc=5
Trump threatens tariffs on 60 trading partners including UK and Canada over ‘forced labour’ - The Guardian,"Wed, 03 Jun 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxQYjRrRTdrMG85bWE0cHRmeWltMlczMF9ybWE2Q0E1NjlhYjBrQm5USHFOZm5IU0ZrSW52amw3REJ1V1NQci1nNmNNNl84eVk5emx2eHlPSHZGVjc1ZGRfZENTWGJaTXZCZC1YTGMwYndwaHNUWHFnU01RR1Z3NWtSSUtfOThSeEJia1J2R2w1Q3lNSXVGQlpiZnNjZ3R6LXgz?oc=5"" target=""_blank"">Trump threatens tariffs on 60 trading partners including UK and Canada over ‘forced labour’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Guardian</font>",https://news.google.com/rss/articles/CBMioAFBVV95cUxQYjRrRTdrMG85bWE0cHRmeWltMlczMF9ybWE2Q0E1NjlhYjBrQm5USHFOZm5IU0ZrSW52amw3REJ1V1NQci1nNmNNNl84eVk5emx2eHlPSHZGVjc1ZGRfZENTWGJaTXZCZC1YTGMwYndwaHNUWHFnU01RR1Z3NWtSSUtfOThSeEJia1J2R2w1Q3lNSXVGQlpiZnNjZ3R6LXgz?oc=5
Trump’s Brokerage Accounts Made Big Trades Around ‘Liberation Day’ Tariffs - WSJ,"Thu, 02 Jul 2026 23:22:00 GMT","<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxPdDctTnZ5cGZYcmNlb0JLVGtZMEFTQ0dORDVaaEdQTXlxNTR0WU9WMjRmWWZrX2dWRGFxN1p0bzBOQVpETzYwUGFpZktjT3plZ3NBNC1HeVJvOUFFNUJBR1hYTEQ0VkVNXzV2bnd2TW9KeWFGaG1PYjNoRk93dzBBVDRtM0pxbHAxbnFFVFl3bDhxWGxlWmtXNzc3bDFWdlJxbmJ0cERYN1lyOTlUTTQyUm9rbTJNQQ?oc=5"" target=""_blank"">Trump’s Brokerage Accounts Made Big Trades Around ‘Liberation Day’ Tariffs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WSJ</font>",https://news.google.com/rss/articles/CBMitgFBVV95cUxPdDctTnZ5cGZYcmNlb0JLVGtZMEFTQ0dORDVaaEdQTXlxNTR0WU9WMjRmWWZrX2dWRGFxN1p0bzBOQVpETzYwUGFpZktjT3plZ3NBNC1HeVJvOUFFNUJBR1hYTEQ0VkVNXzV2bnd2TW9KeWFGaG1PYjNoRk93dzBBVDRtM0pxbHAxbnFFVFl3bDhxWGxlWmtXNzc3bDFWdlJxbmJ0cERYN1lyOTlUTTQyUm9rbTJNQQ?oc=5
Trump administration seeks new path forward with tariffs after first attempt hit legal roadblocks - AP News,"Wed, 03 Jun 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxNR3FZVThJWnRyOURYSHREeVZON2NOYWs1ZXNObEJQMzM3VkZUNi1TcmM3UDFtemF0Z0dBTFc1MnZXVkFncU1uOGRTeFQtY09DYjc1aXVBVTBHUlc5d0E5clpnSnFOR01qMlZDZFF0MzlPRjQwNFUxWmNKZmx3bUZFQ1duMTdfV2s4a3Bha2JROGljTDVC?oc=5"" target=""_blank"">Trump administration seeks new path forward with tariffs after first attempt hit legal roadblocks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AP News</font>",https://news.google.com/rss/articles/CBMilAFBVV95cUxNR3FZVThJWnRyOURYSHREeVZON2NOYWs1ZXNObEJQMzM3VkZUNi1TcmM3UDFtemF0Z0dBTFc1MnZXVkFncU1uOGRTeFQtY09DYjc1aXVBVTBHUlc5d0E5clpnSnFOR01qMlZDZFF0MzlPRjQwNFUxWmNKZmx3bUZFQ1duMTdfV2s4a3Bha2JROGljTDVC?oc=5
Trump wants to ‘manage’ China trade. Businesses see a tariff opening. - Politico,"Sat, 30 May 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxPbGZ0RElvZWg0Y0xtbTNTNXVkS2lrYU5fTG9RY054MVYwOVBwMzVua1dmMjJHQjNwRmVvRUp5WDRiZkhXb0ZfOHV6dzBjSDNXclN3RGNWUjRvRy1PXzhNcndxcHZCNW1TX3UxTHVIRHJHOWJhSzNEV0RvcW91N0xmRVN6VGZOa3l2UkhMNHhKbUI?oc=5"" target=""_blank"">Trump wants to ‘manage’ China trade. Businesses see a tariff opening.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Politico</font>",https://news.google.com/rss/articles/CBMikAFBVV95cUxPbGZ0RElvZWg0Y0xtbTNTNXVkS2lrYU5fTG9RY054MVYwOVBwMzVua1dmMjJHQjNwRmVvRUp5WDRiZkhXb0ZfOHV6dzBjSDNXclN3RGNWUjRvRy1PXzhNcndxcHZCNW1TX3UxTHVIRHJHOWJhSzNEV0RvcW91N0xmRVN6VGZOa3l2UkhMNHhKbUI?oc=5
"Trump Targets Brazil With 25% Tariff, Citing Unfair Trade Practices - The New York Times","Tue, 02 Jun 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE9RMkthSDVDei1xTDRDa29PLVYxaThnNEYtaENxb1hyVXJKdjE5S3doamJWclF5bHBzUFRHWXhQc3NNNnJnNUJzVDM1Mkhnd3hDaUZIYklBcnlocmlnQUFfcmQ4MU1WNDNQaXF5R054WFZlNzhQN0xBQQ?oc=5"" target=""_blank"">Trump Targets Brazil With 25% Tariff, Citing Unfair Trade Practices</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",https://news.google.com/rss/articles/CBMieEFVX3lxTE9RMkthSDVDei1xTDRDa29PLVYxaThnNEYtaENxb1hyVXJKdjE5S3doamJWclF5bHBzUFRHWXhQc3NNNnJnNUJzVDM1Mkhnd3hDaUZIYklBcnlocmlnQUFfcmQ4MU1WNDNQaXF5R054WFZlNzhQN0xBQQ?oc=5
"Trump bought Apple, Nvidia and other tech giants before tariff reversal fueled rebound - CNBC","Thu, 02 Jul 2026 18:37:05 GMT","<a href=""https://news.google.com/rss/articles/CBMifEFVX3lxTE5uU09BV2VxQk4wa2RVdFM0c1pfb2hsNlZoREp2a1h0OHFNQVRmVGk1aDFqZEl6ajhhY1p4WDRFeDVKSUkzN1NmSlVvOHFMZktfRDg0bEJITDFsT1dRNkxGclFRMFFmb1lIODh1TkFCU3ZaYXdHSVBzUmx4RkjSAYIBQVVfeXFMT1U5UVUxWUp0RXNqdGwxazBxbVRqU1JqNVY1MXUxTmtIa0J2dnlYc0NWNGhDMnlrbGlaRUpuV2wzNGJJOVIxNlVfeUZBZ3cxSzFXNl9od195bkFmNElDazlyYXdyd1NhbnlsMXhJRXRUTG5KQzFrLThoMGp3bG5vZEtHZw?oc=5"" target=""_blank"">Trump bought Apple, Nvidia and other tech giants before tariff reversal fueled rebound</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>",https://news.google.com/rss/articles/CBMifEFVX3lxTE5uU09BV2VxQk4wa2RVdFM0c1pfb2hsNlZoREp2a1h0OHFNQVRmVGk1aDFqZEl6ajhhY1p4WDRFeDVKSUkzN1NmSlVvOHFMZktfRDg0bEJITDFsT1dRNkxGclFRMFFmb1lIODh1TkFCU3ZaYXdHSVBzUmx4RkjSAYIBQVVfeXFMT1U5UVUxWUp0RXNqdGwxazBxbVRqU1JqNVY1MXUxTmtIa0J2dnlYc0NWNGhDMnlrbGlaRUpuV2wzNGJJOVIxNlVfeUZBZ3cxSzFXNl9od195bkFmNElDazlyYXdyd1NhbnlsMXhJRXRUTG5KQzFrLThoMGp3bG5vZEtHZw?oc=5
"Trump refuses to renew USMCA trade pact, toppling one of the last pillars of stability in global trade - NBC News","Wed, 01 Jul 2026 18:59:57 GMT","<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxQZGY5NzNSVGpuUDYzdVhTdW52RTdQMTVQY0toc1ZQdjdsTEdsWHRoSHF3c191ZE9tU0t3TGdqTk80LWhRVS1HNzB5LW9aekVGNlN2YzB0dmdiX2N6ZEFlMWZoV1dCQzdRZGxJTEtLRFVXVEJJNFhfbmFsXzNOSVVQQXB4eHRORWVjbFlHZ3JB?oc=5"" target=""_blank"">Trump refuses to renew USMCA trade pact, toppling one of the last pillars of stability in global trade</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC News</font>",https://news.google.com/rss/articles/CBMijgFBVV95cUxQZGY5NzNSVGpuUDYzdVhTdW52RTdQMTVQY0toc1ZQdjdsTEdsWHRoSHF3c191ZE9tU0t3TGdqTk80LWhRVS1HNzB5LW9aekVGNlN2YzB0dmdiX2N6ZEFlMWZoV1dCQzdRZGxJTEtLRFVXVEJJNFhfbmFsXzNOSVVQQXB4eHRORWVjbFlHZ3JB?oc=5
"More Trump tariffs? Amid trade deal talks, US names India in its Section 301 findings; proposes additiona - The Times of India","Wed, 03 Jun 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiogJBVV95cUxQcUpsS2JvNWQzX1c0R0ZYRG9vTXNkeG1HMnljN19aT280b2lYNHhsWnBseTd6cFd6TjZVb09EVWNtQ0dpbzYwdlhPUlNTZkNjRXVIMHpZR2FaR0lPcjctVmFTcy1Ya0MtMmYzd0JRQzJlbjM3WVozUDRxeHp3VWFVMm5VdEJSM3hyekxaTlNPSWxnZ1NvcmhSNXpWNjJmbFZCaUg0M0s2Wlg2UjVybkI1cG1IUlRLSkJxSUQ5MzEyTnFSSHJZZlh1cnBNVVhGUGZtbHQ4QXNxX056X1FlaFdteFdGY1I0TFFVb2pYazM1MF9QczJIWkgyOFplclFjUG4xRUgtb2VHd0twYXZuZVRvbTVqa29zXy1JQTBnNzdPaXFnZ9IBpwJBVV95cUxPY1JsZDNUV2lpdEVxUmhCT2EtMmFGdGRqQTQwcURPSjY4NEw4Nk9HVEl6bkhJdGVWQVAwS0llMlZVcUZSNHhHVkFxUUV4QmcxT2laYU5LdVhEbk92VktVU3NsN29Cakt5OW9CZGlHWWRzR0xYUGo1aXJIbzNGaHRsVDRibVdaTkVnT2plYlFiNXBsUDhfblpzd21Rd3RWQzdiTHpRbkNlY0RTX01GRDNKQkl0WDBZdWNUTTNyd2g3a3ZUNXBOWWNkTnROT01CU3VhV1lFN0czb2h0dVR6SEIxQ2hJWlp6MFhnUnowNldGTXZ4T2JDNVcxQV84NzNESWFmVG9STG5OS0NrclJoNWc3bi1hQkliTWtlMnp0QkFJUml0cll1Xzgw?oc=5"" target=""_blank"">More Trump tariffs? Amid trade deal talks, US names India in its Section 301 findings; proposes additiona</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",https://news.google.com/rss/articles/CBMiogJBVV95cUxQcUpsS2JvNWQzX1c0R0ZYRG9vTXNkeG1HMnljN19aT280b2lYNHhsWnBseTd6cFd6TjZVb09EVWNtQ0dpbzYwdlhPUlNTZkNjRXVIMHpZR2FaR0lPcjctVmFTcy1Ya0MtMmYzd0JRQzJlbjM3WVozUDRxeHp3VWFVMm5VdEJSM3hyekxaTlNPSWxnZ1NvcmhSNXpWNjJmbFZCaUg0M0s2Wlg2UjVybkI1cG1IUlRLSkJxSUQ5MzEyTnFSSHJZZlh1cnBNVVhGUGZtbHQ4QXNxX056X1FlaFdteFdGY1I0TFFVb2pYazM1MF9QczJIWkgyOFplclFjUG4xRUgtb2VHd0twYXZuZVRvbTVqa29zXy1JQTBnNzdPaXFnZ9IBpwJBVV95cUxPY1JsZDNUV2lpdEVxUmhCT2EtMmFGdGRqQTQwcURPSjY4NEw4Nk9HVEl6bkhJdGVWQVAwS0llMlZVcUZSNHhHVkFxUUV4QmcxT2laYU5LdVhEbk92VktVU3NsN29Cakt5OW9CZGlHWWRzR0xYUGo1aXJIbzNGaHRsVDRibVdaTkVnT2plYlFiNXBsUDhfblpzd21Rd3RWQzdiTHpRbkNlY0RTX01GRDNKQkl0WDBZdWNUTTNyd2g3a3ZUNXBOWWNkTnROT01CU3VhV1lFN0czb2h0dVR6SEIxQ2hJWlp6MFhnUnowNldGTXZ4T2JDNVcxQV84NzNESWFmVG9STG5OS0NrclJoNWc3bi1hQkliTWtlMnp0QkFJUml0cll1Xzgw?oc=5
"Trump administration floats tariffs on 60 trading partners — including China, U.K., EU — after forced labor probes - CBS News","Wed, 03 Jun 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQd3NPakNfWGozTnR3Qk0zUWdHVE55ZG4xbnV5Wk1mckM3a0Etd1dvNmNDUWp1TElZeUN6ckpyWWhFc1E2TG1xcENZekItTHFDeWM0ZnNlVVcxcTFYQXFLN0tvYzJ6U0FTTFpQTVNMZXhrX2hoalVDX1JCYTdPaWVGMHZXVVJrc1hwclRRQml0RXd5ZGVUNFo1c21XbUIwR1E?oc=5"" target=""_blank"">Trump administration floats tariffs on 60 trading partners — including China, U.K., EU — after forced labor probes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CBS News</font>",https://news.google.com/rss/articles/CBMinwFBVV95cUxQd3NPakNfWGozTnR3Qk0zUWdHVE55ZG4xbnV5Wk1mckM3a0Etd1dvNmNDUWp1TElZeUN6ckpyWWhFc1E2TG1xcENZekItTHFDeWM0ZnNlVVcxcTFYQXFLN0tvYzJ6U0FTTFpQTVNMZXhrX2hoalVDX1JCYTdPaWVGMHZXVVJrc1hwclRRQml0RXd5ZGVUNFo1c21XbUIwR1E?oc=5
